filesize	nObjs	nVersions	pageCount	images	nStreams	linearized	encrypted	nLrgObjs	nSmlObjs	sActions	sElements	sEvents	openAction	aa	names	acroform	js	javascript	launch	submitForm	importData	encrypt	jbig2decode	embeddedFiles	flash	asciiHexDecode	ascii85Decode	lzwDecode	flateDecode	runLengthDecode	ccittfaxDecode	dctDecode	jpxDecode	crypt	class
c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d
																																			class
9674	17	0	1	0	6	0	0	5	12	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
9633	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
2344	11	0	1	0	3	0	0	1	10	1	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
81567	8	0	1	0	1	0	0	1	7	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
26156	17	0	1	0	9	0	0	1	16	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
14964	18	0	1	0	8	0	0	2	16	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
5586	6	0	1	0	1	0	0	0	6	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
7949	9	0	1	0	1	0	0	1	8	2	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
29742	16	0	1	0	8	0	0	2	14	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
268333	34	1	1	1	14	1	0	5	29	1	2	3	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1
12572	22	0	6	0	7	0	0	6	16	2	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
74288	9	0	0	0	2	0	0	1	8	1	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
21870	15	0	1	0	7	0	0	2	13	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
8174	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
6271	14	0	1	0	2	0	0	1	13	3	2	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
249913	261	5	1	1	57	1	0	27	234	3	2	3	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
8270	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
8339	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
9588	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
8110	10	0	1	0	3	0	0	2	8	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
53410	23	0	2	0	7	0	0	8	15	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
53938	23	0	2	0	7	0	0	6	17	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
10699	8	0	1	0	1	0	0	1	7	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
117947	93	4	1	0	24	1	0	9	84	2	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
5325	8	0	1	0	1	0	0	1	7	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
14750	19	0	1	0	9	0	0	2	17	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
14288	18	0	1	0	8	0	0	2	16	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
17082	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
15093	19	0	1	0	9	0	0	2	17	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
8297	10	0	1	0	3	0	0	2	8	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
26230	3	0	0	0	0	0	0	2	1	1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
11408	19	0	1	0	9	0	0	2	17	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
5003	12	0	2	0	3	0	0	1	11	2	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
6016	9	0	1	0	2	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
9314	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
71820	91	0	3	0	13	0	0	13	78	2	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
